trial,state,value,seconds,elapsed_s,running_best,model,strategy
0,COMPLETE,0.4259634678542956,0.836214,0.836214,0.4259634678542956,Logistic Regression,Optuna
1,COMPLETE,0.4274900067949949,0.898908,1.787071,0.4274900067949949,Logistic Regression,Optuna
2,PRUNED,0.42898934778548325,0.470524,2.306489,0.42898934778548325,Logistic Regression,Optuna
3,COMPLETE,0.4286421565298791,0.868102,3.224566,0.42898934778548325,Logistic Regression,Optuna
4,COMPLETE,0.4268921574007576,0.920055,4.198756,0.42898934778548325,Logistic Regression,Optuna
5,COMPLETE,0.4286484248123245,0.881284,5.131166,0.42898934778548325,Logistic Regression,Optuna
6,PRUNED,0.427866218270158,0.519266,5.701733,0.42898934778548325,Logistic Regression,Optuna
7,COMPLETE,0.4289649186156274,0.779302,6.5303,0.42898934778548325,Logistic Regression,Optuna
8,PRUNED,0.42748212900465316,0.420127,7.000475,0.42898934778548325,Logistic Regression,Optuna
9,COMPLETE,0.42593494596808207,0.825057,7.874756,0.42898934778548325,Logistic Regression,Optuna
10,COMPLETE,0.4220682095932033,0.716998,8.643638,0.42898934778548325,Logistic Regression,Optuna
11,PRUNED,0.42883870935597235,0.374766,9.068233,0.42898934778548325,Logistic Regression,Optuna
12,COMPLETE,0.4257944045260746,0.828653,9.946897,0.42898934778548325,Logistic Regression,Optuna
13,COMPLETE,0.4289717396666064,0.766182,10.765748,0.42898934778548325,Logistic Regression,Optuna
14,PRUNED,0.4199710405178999,0.376172,11.194089,0.42898934778548325,Logistic Regression,Optuna
15,COMPLETE,0.4291899641210917,0.777347,12.022037,0.4291899641210917,Logistic Regression,Optuna
16,COMPLETE,0.41202615239987544,0.647091,12.719765,0.4291899641210917,Logistic Regression,Optuna
17,COMPLETE,0.4287630014547436,0.781581,13.550467,0.4291899641210917,Logistic Regression,Optuna
18,COMPLETE,0.42930022580307464,0.744123,14.344128,0.42930022580307464,Logistic Regression,Optuna
19,PRUNED,0.4279987493068153,0.516274,14.910789,0.42930022580307464,Logistic Regression,Optuna
20,COMPLETE,0.42905983187688207,0.836662,15.797655,0.42930022580307464,Logistic Regression,Optuna
21,COMPLETE,0.42923475012489787,0.802458,16.657273,0.42930022580307464,Logistic Regression,Optuna
22,COMPLETE,0.42930976671919946,0.742072,17.449547,0.42930976671919946,Logistic Regression,Optuna
23,COMPLETE,0.42927793682810145,1.15771,18.660196,0.42930976671919946,Logistic Regression,Optuna
