segment,n,base_rate,pr_auc,pr_auc_lift,roc_auc,brier,precision,recall,flag_rate,mean_pred_vs_actual,note,lift_vs_overall
ALL TEST ORDERS,10000,0.1473,0.38583614893692886,2.6193900131495513,0.8060109531076199,0.10586744736326541,0.4583333333333333,0.26883910386965376,0.0864,0.0036374029926884432,,1.0
COD orders,6155,0.23086921202274574,0.3927486682635387,1.7011738586643776,0.6845595980623796,0.1637068805371294,0.4583333333333333,0.27867698803659396,0.14037367993501218,0.004713903464712288,,0.6494542050341287
prepaid orders,3845,0.01352405721716515,0.0356160436860138,2.633532461013905,0.6533644973534244,0.013279225988718524,0.0,0.0,0.0,0.0019141623151053486,,1.0053991378883471
first-time customers,966,0.15320910973084886,0.4062184834726181,2.65139902050371,0.819508689618714,0.1070707705595566,0.5113636363636364,0.30405405405405406,0.09109730848861283,-0.0019227753424174432,,1.0122200234380794
customers with history,9034,0.14666814257250388,0.38341934104386044,2.6141964732001775,0.8045285955890812,0.1057387767624665,0.452319587628866,0.26490566037735847,0.08589771972548152,0.004231949403105978,,0.9980172712260099
pincode UNSEEN in train,73,,,,,,,,,,too small or single-class,
pincode seen in train,9927,0.14737584365870857,0.3875262606919806,2.6295100409359478,0.8068114789896204,0.10575366270549477,0.459837019790454,0.26999316473000684,0.08653168127329505,0.0035069828774865752,,1.0038635055244134
metro,2894,0.11402902557014513,0.32167843814561153,2.8210224242224236,0.8072058336878929,0.08751490963796697,0.4563106796116505,0.14242424242424243,0.03559087767795439,0.0035284628052663497,,1.0769768572303708
tier_1,4021,0.1290723700571997,0.34191925198338785,2.6490506979290993,0.8095847239507509,0.09622993565233393,0.4626865671641791,0.1791907514450867,0.049987565282268095,0.005029092201172147,,1.0113235083857879
tier_2,2179,0.18632400183570444,0.42135070588435025,2.261387162862067,0.7787752244254956,0.12939747013931832,0.44108761329305135,0.35960591133004927,0.15190454336851766,0.002144009195672175,,0.8633258703399338
tier_3,906,0.24061810154525387,0.4956364833014148,2.0598470361058796,0.7811033176872199,0.1506718172723713,0.48034934497816595,0.5045871559633027,0.25275938189845476,0.0014005328809720274,,0.7863842443337111
order < Rs500,2894,0.16689702833448514,0.3371815123778297,2.020296680789729,0.7542955724839483,0.12417116037263172,0.3918918918918919,0.18012422360248448,0.07671043538355218,0.004102407894470639,,0.7712851735127931
order Rs500-1000,3596,0.1632369299221357,0.4559451939629353,2.7931497742601628,0.829524487299034,0.10945693522839131,0.511482254697286,0.41737649063032367,0.1332035595105673,0.0064824119748076725,,1.0663359638077274
order > Rs1000,3510,0.11481481481481481,0.33336392927959957,2.9034922872739317,0.8142775338805117,0.08709857448232558,0.39263803680981596,0.1588089330024814,0.04643874643874644,0.0003392900338683308,,1.1084612343706604
top-decile order value,1000,0.071,0.2445769976211124,3.4447464453677807,0.8011946815445959,0.05996367052224453,0.42857142857142855,0.08450704225352113,0.014,0.006442832499909484,,1.3150948992226712
fashion,2950,0.24610169491525424,0.46253802455491355,1.8794589152024723,0.7603652615098004,0.1548723078933857,0.458128078817734,0.512396694214876,0.2752542372881356,0.0067353104436900235,,0.717517783059199
electronics,1511,0.060225016545334215,0.23170617338114602,3.8473409668012266,0.826125986689367,0.05115583361177088,0.4,0.02197802197802198,0.0033090668431502318,0.008290879466495468,,1.468792714138506
festive window,1628,0.17813267813267813,0.4316158263266694,2.4230019491717854,0.8096747590330395,0.12040637409079535,0.4339622641509434,0.39655172413793105,0.16277641277641278,0.009236520166096024,,0.9250252680998698
alternate address,1190,0.1672268907563025,0.379567245858468,2.2697739827717434,0.7819977790060291,0.11979077646858638,0.46938775510204084,0.23115577889447236,0.08235294117647059,-0.01710729097176439,,0.8665276920875826
long ETA (>= 6 days),2129,0.21230624706434947,0.4687974653597377,2.208119034847083,0.7911158780164749,0.13782891297873054,0.4592074592074592,0.4358407079646018,0.20150305307656177,-0.0016536588271905128,,0.8429897891349304
