split,threshold,is_frozen_operating_point,tp,fp,fn,tn,flag_rate,precision,recall,f1,cost_per_order_inr,total_cost_inr
validation,0.05,False,752,2409,23,1816,0.6322,0.23789939892439102,0.9703225806451613,0.3821138211382114,62.18488500000001,310924.42500000005
validation,0.1,False,752,2371,23,1854,0.6246,0.24079410822926672,0.9703225806451613,0.38583889173935354,60.7468,303734.0
validation,0.15,False,652,1651,123,2574,0.4606,0.28310898827616154,0.8412903225806452,0.423651721897336,44.6284325,223142.1625
validation,0.2,False,551,1058,224,3167,0.3218,0.34244872591671843,0.7109677419354838,0.462248322147651,32.3975075,161987.5375
validation,0.25,False,471,746,304,3479,0.2434,0.38701725554642563,0.607741935483871,0.47289156626506024,28.641932500000003,143209.6625
validation,0.3,False,365,528,410,3697,0.1786,0.4087346024636058,0.47096774193548385,0.43764988009592326,27.861532500000003,139307.6625
validation,0.35,False,257,322,518,3903,0.1158,0.4438687392055268,0.33161290322580644,0.379615952732644,27.8370825,139185.4125
validation,0.37,True,230,249,545,3976,0.0958,0.4801670146137787,0.2967741935483871,0.36682615629984044,27.300192499999998,136500.9625
validation,0.4,False,168,173,607,4052,0.0682,0.49266862170087977,0.2167741935483871,0.30107526881720426,27.8471075,139235.5375
validation,0.45,False,90,86,685,4139,0.0352,0.5113636363636364,0.11612903225806452,0.18927444794952683,29.0801125,145400.5625
validation,0.5,False,48,44,727,4181,0.0184,0.5217391304347826,0.06193548387096774,0.11072664359861592,29.95835,149791.75
validation,0.55,False,21,20,754,4205,0.0082,0.5121951219512195,0.027096774193548386,0.051470588235294115,30.5756625,152878.3125
validation,0.6,False,9,9,766,4216,0.0036,0.5,0.011612903225806452,0.02269861286254729,30.8121775,154060.8875
validation,0.65,False,4,4,771,4221,0.0016,0.5,0.005161290322580645,0.010217113665389528,30.9066325,154533.1625
validation,0.7,False,1,0,774,4225,0.0002,1.0,0.0012903225806451613,0.002577319587628866,30.96,154800.0
validation,0.75,False,0,0,775,4225,0.0,0.0,0.0,0.0,31.0,155000.0
validation,0.8,False,0,0,775,4225,0.0,0.0,0.0,0.0,31.0,155000.0
validation,0.85,False,0,0,775,4225,0.0,0.0,0.0,0.0,31.0,155000.0
validation,0.9,False,0,0,775,4225,0.0,0.0,0.0,0.0,31.0,155000.0
validation,0.95,False,0,0,775,4225,0.0,0.0,0.0,0.0,31.0,155000.0
test,0.05,False,1422,4767,51,3760,0.6189,0.22976248182258846,0.9653767820773931,0.37118245888801876,61.289494999999995,612894.95
test,0.1,False,1413,4658,60,3869,0.6071,0.23274584088288586,0.9592668024439919,0.3746023329798516,58.841113750000005,588411.1375000001
test,0.15,False,1227,3155,246,5372,0.4382,0.28000912825193974,0.8329938900203666,0.41912894961571306,42.279891250000006,422798.91250000003
test,0.2,False,1014,2033,459,6494,0.3047,0.33278634722678047,0.6883910386965377,0.4486725663716814,32.5330825,325330.825
test,0.25,False,846,1528,627,6999,0.2374,0.35636057287278855,0.5743380855397149,0.4398232388874448,29.31528875,293152.8875
test,0.3,False,647,1068,826,7459,0.1715,0.3772594752186589,0.4392396469789545,0.4058971141781681,27.80771875,278077.1875
test,0.35,False,460,605,1013,7922,0.1065,0.431924882629108,0.3122878479293958,0.3624901497241923,26.703717500000003,267037.17500000005
test,0.37,True,396,468,1077,8059,0.0864,0.4583333333333333,0.26883910386965376,0.33889602053915274,26.5119175,265119.175
test,0.4,False,284,311,1189,8216,0.0595,0.4773109243697479,0.19280380176510523,0.2746615087040619,27.13176875,271317.6875
test,0.45,False,158,156,1315,8371,0.0314,0.5031847133757962,0.10726408689748812,0.17683268047006157,27.94572375,279457.2375
test,0.5,False,74,57,1399,8470,0.0131,0.5648854961832062,0.05023761031907671,0.09226932668329177,28.595422499999998,285954.225
test,0.55,False,35,19,1438,8508,0.0054,0.6481481481481481,0.02376103190767142,0.045841519318925994,29.021758750000004,290217.5875
test,0.6,False,17,7,1456,8520,0.0024,0.7083333333333334,0.011541072640868975,0.022712090848363394,29.2287625,292287.625
test,0.65,False,6,2,1467,8525,0.0008,0.75,0.004073319755600814,0.008102633355840648,29.3954675,293954.675
test,0.7,False,3,0,1470,8527,0.0003,1.0,0.002036659877800407,0.004065040650406504,29.4,294000.0
test,0.75,False,0,0,1473,8527,0.0,0.0,0.0,0.0,29.46,294600.0
test,0.8,False,0,0,1473,8527,0.0,0.0,0.0,0.0,29.46,294600.0
test,0.85,False,0,0,1473,8527,0.0,0.0,0.0,0.0,29.46,294600.0
test,0.9,False,0,0,1473,8527,0.0,0.0,0.0,0.0,29.46,294600.0
test,0.95,False,0,0,1473,8527,0.0,0.0,0.0,0.0,29.46,294600.0
